id,restaurante,bairro,prato,categoria,preco,data,cliente_id
1,Ponto do Chef,Dom Pedro,Pão com ovo,Pizzas e massas,72.64,2025-01-03,9079
2,Cantina do Chef,Flores,Moqueca de peixe,Pizzas e massas,18.5,2025-05-19,1645
3,Alentejo,Dom Pedro,Strogonoff de frango,Fast-food,23.04,2025-05-13,9193
4,Delícias do Povo,Dom Pedro,X-Tudo,Vegano,74.56,2025-06-03,8487
5,Cantina do Chef,Vieiralves,Torta de chocolate,Açaí,51.14,2025-05-18,3639
6,Comida Boa,Aleixo,Pão com ovo,Comida oriental,53.45,2025-04-15,8379
7,Javari,Aleixo,Açaí com banana,Sobremesas,58.29,2025-02-23,6380
8,Ponto do Chef,Adrianópolis,Açaí com banana,Vegano,30.15,2025-03-07,8646
9,Estação Grill,Centro,Refrigerante lata,Açaí,29.98,2025-04-16,7615
10,Javari,Aleixo,Pão com ovo,Sobremesas,64.24,2025-02-13,9966
11,Estação Grill,Compensa,Temaki,Almoço executivo,29.97,2025-01-19,3480
12,Alentejo,Cidade Nova,X-Tudo,Almoço executivo,68.91,2025-01-20,3861
13,Delícias do Povo,Compensa,Feijoada,Açaí,64.02,2025-02-02,5353
14,Comida Boa,São Jorge,Torta de chocolate,Açaí,23.22,2025-04-26,9934
15,Estação Grill,São Jorge,Suco natural,Sobremesas,58.02,2025-04-10,1607
16,Nájua,Aleixo,Yakissoba,Comida oriental,45.56,2025-04-28,9569
17,Chef do Norte,Ponta Negra,Yakissoba,Pizzas e massas,63.74,2025-02-10,7198
18,Bom Prato,Cidade Nova,Salmão grelhado,Vegano,70.76,2025-03-26,1826
19,Estação Grill,Adrianópolis,Suco natural,Sobremesas,19.92,2025-06-22,9583
20,Chef do Norte,Compensa,Filé acebolado,Bebidas,69.1,2025-03-31,4117
21,Chef do Norte,São Jorge,Moqueca de peixe,Almoço executivo,45.05,2025-06-03,8832
22,Lalbero,Flores,Salmão grelhado,Sobremesas,47.78,2025-05-01,5795
23,La Parrilla,Vieiralves,Filé acebolado,Sobremesas,41.64,2025-01-22,6408
24,Bom Prato,Aleixo,Bolo de cenoura,Almoço executivo,71.34,2025-05-27,5238
25,Villa do Sabor,Dom Pedro,Temaki,Comida oriental,36.12,2025-06-03,3385
26,Sabor a Mi,Centro,Bolo de cenoura,Vegano,29.96,2025-03-12,5774
27,Cantina do Chef,Flores,Moqueca de peixe,Comida oriental,32.82,2025-05-04,7453
28,Sabor da Terra,Dom Pedro,Sanduíche vegano,Pizzas e massas,48.99,2025-04-18,7883
29,La Parrilla,Flores,Refrigerante lata,Vegano,79.45,2025-06-13,3457
30,La Parrilla,Centro,Sanduíche vegano,Vegano,40.94,2025-02-02,3476
31,Alentejo,Vieiralves,Suco natural,Vegano,71.97,2025-01-09,4062
32,Lalbero,São Jorge,Hot roll,Bebidas,56.36,2025-04-10,8029
33,Alentejo,Ponta Negra,Prato fitness,Açaí,57.69,2025-02-27,8962
34,Nájua,Cidade Nova,Torta de chocolate,Pizzas e massas,56.77,2025-01-05,9531
35,Sabor da Terra,Vieiralves,Torta de chocolate,Sobremesas,73.5,2025-02-15,7546
36,Villa do Sabor,Aleixo,Refrigerante lata,Fast-food,51.58,2025-06-11,4129
37,Comida Boa,Dom Pedro,Hot roll,Lanches rápidos,35.28,2025-01-11,1551
38,Bom Prato,Centro,Filé acebolado,Açaí,35.97,2025-01-09,3674
39,Comida Boa,Adrianópolis,Prato fitness,Pizzas e massas,59.73,2025-06-14,6911
40,Javari,Cidade Nova,Bolo de cenoura,Bebidas,31.49,2025-05-21,1183
41,Alentejo,Adrianópolis,Bolo de cenoura,Açaí,51.78,2025-01-31,8596
42,Lalbero,São Jorge,X-Tudo,Vegano,36.77,2025-06-25,7567
43,Javari,Aleixo,Torta de chocolate,Fast-food,57.61,2025-04-17,9948
44,Alentejo,Centro,Pizza calabresa,Fast-food,50.38,2025-03-30,4830
45,Javari,São Jorge,Pão com ovo,Bebidas,43.57,2025-05-25,1794
46,Alentejo,Dom Pedro,Yakissoba,Vegano,67.02,2025-06-05,5537
47,Villa do Sabor,Adrianópolis,Hot roll,Lanches rápidos,73.56,2025-06-25,1855
48,Ponto do Chef,Ponta Negra,Sanduíche vegano,Pizzas e massas,62.44,2025-04-13,9391
49,Sabor da Terra,Compensa,Torta de chocolate,Vegano,30.12,2025-05-25,1787
